,PageID,PageName,Disclaimer,AmountSpent,Numberofads
190,1598764970362891,Jordan Bardella,Jordan Bardella,29270,69
324,21254500749,Rassemblement National,Rassemblement National,14287,746
330,196429080701483,Jérôme Rivière,Jérôme Rivière,13991,72
351,123316887684644,Marine Le Pen,Rassemblement National,12376,150
483,373771849427538,Nicolas Bay,Nicolas Bay,7932,13
509,1536553206605391,Jean-Lin Lacapelle,Jean-Lin Lacapelle,7581,72
550,123316887684644,Marine Le Pen,AFE MLP 2022,6618,39
564,123316887684644,Marine Le Pen,AFE MLP 2022,6239,108
595,1030606370307693,Julie Lechanteux,Julie Lechanteux,5599,25
656,361243920982960,Virginie Joron,Virginie Joron,4904,11
748,1828719080762024,Hélène Laporte,Hélène Laporte,4090,13
909,120292721389667,Philippe Vardon,Philippe Vardon,2919,29
915,140870836830216,Catherine Griset,Catherine Griset,2880,7
927,115640363205428,Mathilde Androuët,Mathilde Androuët,2822,6
1076,426781830675670,Julien Leonardelli,Julien Leonardelli,2136,16
1412,106206114122000,Philippe Olivier,Parlement européen,1315,3
1448,361243920982960,Virginie Joron,VIRGINIE JORON,1250,7
1712,1598764970362891,Jordan Bardella,Rassemblement National,895,20
2030,579176352189689,Gilles Lebreton,Gilles Lebreton,615,2
2081,426781830675670,Julien Leonardelli,These ads ran without a disclaimer,584,6
2104,103477098595090,Stéphane Blanchon,Stéphane Georges Blanchon,564,7
2923,164529103573433,Rassemblement National 76,Nicolas Goury,270,5
3394,1536553206605391,Jean-Lin Lacapelle,Alexandra Branlant,197,2
3573,106206114122000,Philippe Olivier,These ads ran without a disclaimer,174,1
3809,247522811982633,Rassemblement National 62,Rassemblement National 62,148,1
3906,1410259935872953,Rassemblement National Dunkerque Flandre Maritime,These ads ran without a disclaimer,138,1
4196,1453947328007819,Rassemblement National Les Pennes Mirabeau,Maximilien Fusone,114,5
4507,327608390946365,Rassemblement National 13,These ads ran without a disclaimer,,1
5016,735401093308419,Rassemblement National Guyane,These ads ran without a disclaimer,,1
5117,120292721389667,Philippe Vardon,These ads ran without a disclaimer,,4
5305,164529103573433,Rassemblement National 76,These ads ran without a disclaimer,,3
5651,"1,64E+15",Rassemblement National 36,These ads ran without a disclaimer,,1
5884,1790362751110291,Rassemblement National Haute-Vienne 87,These ads ran without a disclaimer,,5
6219,1536553206605391,Jean-Lin Lacapelle,These ads ran without a disclaimer,,3
6356,981947151821156,Rassemblement National 34,These ads ran without a disclaimer,,1
6490,1977144995648215,Rassemblement National 24,These ads ran without a disclaimer,,1
6790,108431638108103,Canton Nord Toulois. Rassemblement National,These ads ran without a disclaimer,,3
7054,236220836947190,Rassemblement National Finistère,These ads ran without a disclaimer,,2
7286,334964066839432,Rassemblement National Fresnes sur escaut,These ads ran without a disclaimer,,9
7706,979850785422053,Rassemblement National de Wattrelos Page authentifiée,These ads ran without a disclaimer,,1
8053,108431638108103,Canton Nord Toulois. Rassemblement National,Michael Jean Charles Zorzi,,3
8062,21254500749,Rassemblement National,These ads ran without a disclaimer,,10
8158,414976052387299,Rassemblement National Anzin Bruay Beuvrages Escautpont Fresnes Onnaing,These ads ran without a disclaimer,,1
8907,735401093308419,Rassemblement National Guyane,Jérôme Jean-Frédéric Harbourg,,1
8947,1498011923815287,Rassemblement National de l'Aisne,These ads ran without a disclaimer,,1
9188,787891094602143,Montauban Avec Vous Pour Vous - Rassemblement National Montauban,These ads ran without a disclaimer,,1
9261,733686273345882,Rassemblement National 67,These ads ran without a disclaimer,,1
9660,206032179571178,Rassemblement National - canton de Forbach,These ads ran without a disclaimer,,1
9772,101879314617992,Rassemblement National 64,Rassemblement National des Pyrénées-Atlantiques,,1
10280,110791203998997,Canton de Marly - Rassemblement National,Ludovic Martel,,1
11437,1830373277178381,Rassemblement National 88,These ads ran without a disclaimer,,2
12211,104324137602122,Romain Baubry - Rassemblement National de Sénas,These ads ran without a disclaimer,,1
12661,367822060363414,Rassemblement National Plan-de-Cuques,These ads ran without a disclaimer,,1
12756,105773788124129,Rassemblement National st Gely du Fesc,These ads ran without a disclaimer,,1
13097,101579405308515,Rassemblement National Sarreguemines,These ads ran without a disclaimer,,5
13266,110791203998997,Canton de Marly - Rassemblement National,These ads ran without a disclaimer,,1
13541,247522811982633,Rassemblement National 62,These ads ran without a disclaimer,,1
14796,361944514429715,Revue d'hypnose: Le Pendule,These ads ran without a disclaimer,,2
15024,115003280208704,Rassemblement National Canton de Monteux,These ads ran without a disclaimer,,2
15058,214841568952770,Rassemblement National 82,These ads ran without a disclaimer,,1
15323,1638410342874072,Rassemblement National 78,These ads ran without a disclaimer,,1
15496,105490951873382,Rassemblement National - Canton de Valréas,These ads ran without a disclaimer,,4
15860,104290997661916,Rassemblement National Montigny-en-Gohelle 2020,These ads ran without a disclaimer,,1
16132,103477098595090,Stéphane Blanchon,These ads ran without a disclaimer,,3
17531,1521708724757738,Rassemblement National Polynésien,These ads ran without a disclaimer,,1
20385,304430916835515,Rassemblement National Rivesaltes,These ads ran without a disclaimer,,1
25328,1786352768274777,Marine Le Pen 2022,These ads ran without a disclaimer,,1
27641,102140811529036,Rassemblement National canton Montpellier-4,These ads ran without a disclaimer,,1
